DBASE_NUM_TRANS : 2900
DBASE_MAXITEM : 24
MINSUPPORT : 200 (0)
0 - 1303
1 - 2468
2 - 2529
3 - 1557
4 - 2319
5 - 1805
6 - 1970
7 - 1607
8 - 1981
9 - 1866
10 - 1369
11 - 559
12 - 484
13 - 245
14 - 1154
15 - 584
16 - 200
21 - 286
0 0  - 577
9 8 4  - 222
9 8 10  - 225
9 9  - 503
9 9 4  - 316
9 9 7  - 200
9 9 10  - 272
9 10  - 871
9 10 -1 4  - 205
9 15  - 212
11 2  - 228
11 12  - 238
13 6  - 245
13 6 -1 6  - 221
F1 - 18 24
F2 - 39 324
F3 - 71 842
F4 - 65 1380
F5 - 40 1126
F6 - 13 431
F7 - 1 128
F8 - 0 8
[ 1 24 18 0.00429606 0 ] [ 2 324 39 0.00863385 0 ] [ 3 842 71 0.0182583 0 ] [ 4 1380 65 0.0271225 0 ] [ 5 1126 40 0.0214548 0 ] [ 6 431 13 0.00757051 0 ] [ 7 128 1 0.00399899 0 ] [ 8 8 0 5.10216e-05 0 ] [ SUM 4263 247 0.0913861 ] 0.099139
TIME = 0.099139
BrachIt = 118
